Reference, Value, Footprint, Datasheet, Digi-Key
"R16","100k","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM100KYCT-ND",""
"R15","4k7","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM4.7YCT-ND",""
"C9","100nF","Capacitors_SMD:C_1206_HandSoldering","http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31F104MBCNNNC_Spec.pdf",",1276-2854-1-ND",""
"C1","100nF","Capacitors_SMD:C_1206_HandSoldering","http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31F104MBCNNNC_Spec.pdf",",1276-2854-1-ND",""
"U2","TLP293-4","SMD_Packages:SO-16-N","https://toshiba.semicon-storage.com/info/docget.jsp?did=15287&prodName=TLP293-4",",TLP293-4(LGBE-ND",""
"U3","TLP293-4","SMD_Packages:SO-16-N","https://toshiba.semicon-storage.com/info/docget.jsp?did=15287&prodName=TLP293-4",",TLP293-4(LGBE-ND",""
"D1","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND",""
"D2","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND",""
"D3","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND",""
"D4","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND",""
"D5","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND",""
"D6","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND",""
"D7","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND",""
"D8","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND",""
